,Name,Year,NOC,Sport,Sex,isHost,TeamNum,AvgGoldRate,AvgMedalRate,LastMedal,Medal,gold,total_medal
217349,Angel Barajas,2028,COL,GAR,M,0,9,0.0,0.1111111111111111,No medal,Silver,0,0
217350,Angel Barajas,2028,COL,GAR,M,0,9,0.0,0.1111111111111111,No medal,No medal,0,0
217351,Tatiana Renteria,2028,COL,WRF,F,0,4,0.0,0.14285714285714285,No medal,Bronze,0,0
217352,Camila Cardozo,2028,COL,WRF,F,0,4,0.0,0.14285714285714285,No medal,No medal,0,0
217353,Alexis Cuero,2028,COL,WRF,M,0,4,0.0,0.14285714285714285,No medal,No medal,0,0
217354,Andres Munoz,2028,COL,WRF,M,0,4,0.0,0.14285714285714285,No medal,No medal,0,0
217360,Victor Bolanos,2028,COL,SAL,M,0,1,0.0,0.0,No medal,No medal,0,0
217361,Manuela Gomez,2028,COL,CSP,F,0,1,0.0,0.0,No medal,No medal,0,0
217362,Edison Rodriguez,2028,COL,FEN,M,0,1,0.0,0.0,No medal,No medal,0,0
217363,Angel Hernandez,2028,COL,GTR,M,0,1,0.0,0.0,No medal,No medal,0,0
217364,Jorge Enriquez,2028,COL,ARC,M,0,9,0.0,0.0,No medal,No medal,0,0
217365,Jorge Enriquez,2028,COL,ARC,M,0,9,0.0,0.0,No medal,No medal,0,0
217366,Ana Rendon,2028,COL,ARC,F,0,9,0.0,0.0,No medal,No medal,0,0
217367,Ana Rendon,2028,COL,ARC,F,0,9,0.0,0.0,No medal,No medal,0,0
217368,Santiago Arcila,2028,COL,ARC,M,0,9,0.0,0.0,No medal,No medal,0,0
217369,Santiago Arcila,2028,COL,ARC,M,0,9,0.0,0.0,No medal,No medal,0,0
217370,Santiago Arcila,2028,COL,ARC,M,0,9,0.0,0.0,No medal,No medal,0,0
217371,Andres Hernandez,2028,COL,ARC,M,0,9,0.0,0.0,No medal,No medal,0,0
217372,Andres Hernandez,2028,COL,ARC,M,0,9,0.0,0.0,No medal,No medal,0,0
217373,Jhancarlos Gonzalez,2028,COL,SKB,M,0,1,0.0,0.0,No medal,No medal,0,0
217374,Mariajo Uribe,2028,COL,GLF,F,0,3,0.0,0.0,No medal,No medal,0,0
217375,Camilo Villegas,2028,COL,GLF,M,0,3,0.0,0.0,No medal,No medal,0,0
217376,Nico Echavarria,2028,COL,GLF,M,0,3,0.0,0.0,No medal,No medal,0,0
217377,Camila Osorio,2028,COL,TEN,F,0,1,0.0,0.0,No medal,No medal,0,0
217378,Mariana Pajon,2028,COL,BMX,F,0,5,0.0,0.25,Silver,No medal,0,0
217379,Gabriela Bolle,2028,COL,BMX,F,0,5,0.0,0.25,No medal,No medal,0,0
217380,Alejandro Arboleda,2028,COL,BMX,M,0,5,0.0,0.25,No medal,No medal,0,0
217381,Alberto Ramirez,2028,COL,BMX,M,0,5,0.0,0.25,Bronze,No medal,0,0
217382,Mateo Carmona,2028,COL,BMX,M,0,5,0.0,0.25,No medal,No medal,0,0
217383,Saray Villegas,2028,COL,BMF,F,0,1,0.0,0.0,No medal,No medal,0,0
217384,Martha Bayona,2028,COL,CTR,F,0,9,0.0,0.0,No medal,No medal,0,0
217385,Martha Bayona,2028,COL,CTR,F,0,9,0.0,0.0,No medal,No medal,0,0
217386,Santiago Quintero,2028,COL,CTR,M,0,9,0.0,0.0,No medal,No medal,0,0
217387,Santiago Quintero,2028,COL,CTR,M,0,9,0.0,0.0,No medal,No medal,0,0
217388,David Ortega,2028,COL,CTR,M,0,9,0.0,0.0,No medal,No medal,0,0
217389,David Ortega,2028,COL,CTR,M,0,9,0.0,0.0,No medal,No medal,0,0
217390,Stefany Cuadrado,2028,COL,CTR,F,0,9,0.0,0.0,No medal,No medal,0,0
217391,Stefany Cuadrado,2028,COL,CTR,F,0,9,0.0,0.0,No medal,No medal,0,0
217392,Fernando Gaviria,2028,COL,CTR,M,0,9,0.0,0.0,No medal,No medal,0,0
217393,Yenny Alvarez,2028,COL,WLF,F,0,4,0.0,0.42857142857142855,No medal,No medal,0,0
217394,Yeison Lopez,2028,COL,WLF,M,0,4,0.0,0.42857142857142855,No medal,Silver,0,0
217395,Luis Mosquera,2028,COL,WLF,M,0,4,0.0,0.42857142857142855,No medal,No medal,0,0
217396,Leivis Sanchez,2028,COL,WLF,F,0,4,0.0,0.42857142857142855,No medal,Silver,0,0
217397,Stefania Gomez,2028,COL,SWM,F,0,2,0.0,0.0,No medal,No medal,0,0
217398,Anthony Rincon,2028,COL,SWM,M,0,2,0.0,0.0,No medal,No medal,0,0
217399,Felipe Uribe,2028,COL,DIV,M,0,3,0.0,0.0,No medal,No medal,0,0
217400,Alejandro Solarte,2028,COL,DIV,M,0,3,0.0,0.0,No medal,No medal,0,0
217401,Daniel Restrepo,2028,COL,DIV,M,0,3,0.0,0.0,No medal,No medal,0,0
217402,Carolina Velasquez,2028,COL,TRI,F,0,1,0.0,0.0,No medal,No medal,0,0
217403,Alfonso Arias,2028,COL,MTB,M,0,1,0.0,0.0,No medal,No medal,0,0
217404,Dani Martinez,2028,COL,CRD,M,0,3,0.0,0.0,No medal,No medal,0,0
217405,Santi Buitrago,2028,COL,CRD,M,0,3,0.0,0.0,No medal,No medal,0,0
217406,Paula Patino,2028,COL,CRD,F,0,3,0.0,0.0,No medal,No medal,0,0
217407,Daniela Arias,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217408,Carolina Arias,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217409,Angela Baron,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217410,Linda Caicedo,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217411,Jorelyn Carabali,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217412,Daniela Caracas,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217413,Ilana Izquierdo,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217414,Daniela Montoya,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217415,Manuela Pavi,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217416,Catalina Perez,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217417,Yirleidys Quejada,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217418,Mayra Ramirez,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217419,Marcela Restrepo,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217420,Liana Salazar,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217421,Leicy Santos,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217422,Sandra Sepulveda,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217423,Katherine Tapia,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217424,Catalina Usme,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217425,Manuela Vanegas,2028,COL,FBL,F,0,19,0.0,0.0,No medal,No medal,0,0
217426,Rene Lopez,2028,COL,EDR,M,0,1,0.0,0.0,No medal,No medal,0,0
217427,Erika Lasso,2028,COL,JUD,F,0,1,0.0,0.0,No medal,No medal,0,0
217428,McKENZIE Ashley,2028,JAM,JUD,M,0,1,0.0,0.0,No medal,No medal,0,0
217429,Shanieka Ricketts,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,Silver,0,0
217430,Jaheel Hyde,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217431,Janeek Brown,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217432,Lloydricia Cameron,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217433,Rushell Clayton,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217434,Roshawn Clarke,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217435,Shashalee Forbes,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,Silver,No medal,0,0
217436,Shashalee Forbes,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,Silver,No medal,0,0
217437,Shericka Jackson,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,Gold,No medal,0,0
217438,Shericka Jackson,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,Gold,No medal,0,0
217439,McPHERSON Ann,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,Bronze,No medal,0,0
217440,McPHERSON Ann,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,Bronze,No medal,0,0
217441,Kemba Nelson,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217442,Traves Smikle,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217443,Ann Williams,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,Bronze,No medal,0,0
217444,Ann Williams,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,Bronze,No medal,0,0
217445,Kimberly Williams,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217446,Danielle Williams,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217447,Ashley Williams,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217448,Ashley Williams,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217449,Danniel Thomas-dodd,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217450,Shiann Salmon,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217451,Shiann Salmon,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217452,Janieve Russell,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,Bronze,No medal,0,0
217453,Chanice Porter,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217454,Ackeem Blake,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217455,Ackeem Blake,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217456,Navasky Anderson,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217457,Zandrion Barnes,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217458,Orlando Bennett,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217459,Rajindra Campbell,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,Bronze,0,0
217460,Anthony Cox,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217461,Tajay Gayle,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217462,Hansle Parchment,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,Gold,No medal,0,0
217463,Oblique Seville,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217464,Oblique Seville,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217465,Shelly-ann Fraser-pryce,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,Gold,No medal,0,0
217466,Junelle Bromfield,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,Bronze,No medal,0,0
217467,Junelle Bromfield,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,Bronze,No medal,0,0
217468,Junelle Bromfield,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,Bronze,No medal,0,0
217469,Tia Clayton,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217470,Tia Clayton,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217471,Lamara Distin,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217472,Natoya Goule-toppin,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217473,Samantha Hall,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217474,Andrenette Knight,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217475,Andrenette Knight,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217476,Ackera Nugent,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217477,Nickisha Pryce,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217478,Nickisha Pryce,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217479,Alana Reid,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217480,Ackelia Smith,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217481,Ackelia Smith,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217482,Adelle Tracey,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217483,Adelle Tracey,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217484,Sean Bailey,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217485,Romaine Beckford,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217486,Rasheed Broadbell,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,Bronze,0,0
217487,Deandre Watkin,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217488,Jelani Walker,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217489,Roje Stona,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,Gold,0,0
217490,Jaydon Hibbert,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217491,Andrew Hudson,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217492,McLEOD Carey,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217493,Bryan Levell,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217494,Niesha Burgher,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217495,Lanae-tava Thomas,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217496,Charokee Young,2028,JAM,ATH,F,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217497,Wayne Pinnock,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,Silver,0,0
217498,Jevaughn Powell,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217499,Jehlani Gordon,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217500,Reheem Hayles,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217501,Jordan Scott,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217502,Malik James-king,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217503,Kishane Thompson,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,Silver,0,0
217504,Kishane Thompson,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217505,Ralford Mullings,2028,JAM,ATH,M,0,77,0.06369426751592357,0.17197452229299362,No medal,No medal,0,0
217506,Yona Knight-wisdom,2028,JAM,DIV,M,0,1,0.0,0.0,No medal,No medal,0,0
217507,Sabrina Lyn,2028,JAM,SWM,F,0,2,0.0,0.0,No medal,No medal,0,0
217508,Josh Kirlew,2028,JAM,SWM,M,0,2,0.0,0.0,No medal,No medal,0,0
217509,Mariam Bass,2028,GAM,ATH,F,0,4,0.0,0.0,No medal,No medal,0,0
217510,Mariam Bass,2028,GAM,ATH,F,0,4,0.0,0.0,No medal,No medal,0,0
217511,Ebrahima Camara,2028,GAM,ATH,M,0,4,0.0,0.0,No medal,No medal,0,0
217512,Sanu Jallow,2028,GAM,ATH,F,0,4,0.0,0.0,No medal,No medal,0,0
217513,Nia-maria Barrow,2028,GAM,SWM,F,0,2,0.0,0.0,No medal,No medal,0,0
217514,Ousman Jobe,2028,GAM,SWM,M,0,2,0.0,0.0,No medal,No medal,0,0
217515,Faye Njie,2028,GAM,JUD,M,0,1,0.0,0.0,No medal,No medal,0,0
217516,Alasan Ann,2028,GAM,TKW,M,0,1,0.0,0.0,No medal,No medal,0,0
217517,Lizeth Rueda,2028,MEX,TRI,F,0,4,0.0,0.0,No medal,No medal,0,0
217518,Maria Tapia,2028,MEX,TRI,F,0,4,0.0,0.0,No medal,No medal,0,0
217519,Crisanto Grajales,2028,MEX,TRI,M,0,4,0.0,0.0,No medal,No medal,0,0
217520,Michell Penaflor,2028,MEX,TRI,M,0,4,0.0,0.0,No medal,No medal,0,0
217521,Nuria Diosdado,2028,MEX,SWA,F,0,11,0.0,0.0,No medal,No medal,0,0
217522,Nuria Diosdado,2028,MEX,SWA,F,0,11,0.0,0.0,No medal,No medal,0,0
217523,Joana Jimenez,2028,MEX,SWA,F,0,11,0.0,0.0,No medal,No medal,0,0
217524,Joana Jimenez,2028,MEX,SWA,F,0,11,0.0,0.0,No medal,No medal,0,0
217525,Jessica Sobrino,2028,MEX,SWA,F,0,11,0.0,0.0,No medal,No medal,0,0
217526,Regina Alferez,2028,MEX,SWA,F,0,11,0.0,0.0,No medal,No medal,0,0
217527,Fernanda Arellano,2028,MEX,SWA,F,0,11,0.0,0.0,No medal,No medal,0,0
217528,Pamela Toscano,2028,MEX,SWA,F,0,11,0.0,0.0,No medal,No medal,0,0
217529,Itzamary Gonzalez,2028,MEX,SWA,F,0,11,0.0,0.0,No medal,No medal,0,0
217530,Samanta Rodriguez,2028,MEX,SWA,F,0,11,0.0,0.0,No medal,No medal,0,0
217531,Glenda Inzunza,2028,MEX,SWA,F,0,11,0.0,0.0,No medal,No medal,0,0
217536,Alegna Gonzalez,2028,MEX,ATH,F,0,20,0.0,0.0,No medal,No medal,0,0
217537,Alegna Gonzalez,2028,MEX,ATH,F,0,20,0.0,0.0,No medal,No medal,0,0
217538,Tonatiu Lopez,2028,MEX,ATH,M,0,20,0.0,0.0,No medal,No medal,0,0
217539,Erick Portillo,2028,MEX,ATH,M,0,20,0.0,0.0,No medal,No medal,0,0
217540,Uziel Munoz,2028,MEX,ATH,M,0,20,0.0,0.0,No medal,No medal,0,0
217541,del Diego,2028,MEX,ATH,M,0,20,0.0,0.0,No medal,No medal,0,0
217542,Luis Doctor,2028,MEX,ATH,M,0,20,0.0,0.0,No medal,No medal,0,0
217543,Paola Moran,2028,MEX,ATH,F,0,20,0.0,0.0,No medal,No medal,0,0
217544,Laura Galvan,2028,MEX,ATH,F,0,20,0.0,0.0,No medal,No medal,0,0
217545,Delia Cortes,2028,MEX,ATH,F,0,20,0.0,0.0,No medal,No medal,0,0
217546,Citlali Cristian,2028,MEX,ATH,F,0,20,0.0,0.0,No medal,No medal,0,0
217547,Jair Palma,2028,MEX,ATH,M,0,20,0.0,0.0,No medal,No medal,0,0
217548,Margarita Hernandez,2028,MEX,ATH,F,0,20,0.0,0.0,No medal,No medal,0,0
217549,Edgar Rivera,2028,MEX,ATH,M,0,20,0.0,0.0,No medal,No medal,0,0
217550,Cecilia Tamayo-garza,2028,MEX,ATH,F,0,20,0.0,0.0,No medal,No medal,0,0
217551,Cecilia Tamayo-garza,2028,MEX,ATH,F,0,20,0.0,0.0,No medal,No medal,0,0
217552,Ilse Guerrero,2028,MEX,ATH,F,0,20,0.0,0.0,No medal,No medal,0,0
217553,Noel Chama,2028,MEX,ATH,M,0,20,0.0,0.0,No medal,No medal,0,0
217554,Ricardo Ortiz,2028,MEX,ATH,M,0,20,0.0,0.0,No medal,No medal,0,0
217555,Alejandra Ortega,2028,MEX,ATH,F,0,20,0.0,0.0,No medal,No medal,0,0
217556,Elena Oetling,2028,MEX,SAL,F,0,2,0.0,0.0,No medal,No medal,0,0
217557,Mariana Aguilar,2028,MEX,SAL,F,0,2,0.0,0.0,No medal,No medal,0,0
217558,Kenia Lechuga,2028,MEX,ROW,F,0,3,0.0,0.0,No medal,No medal,0,0
217559,Alexis Lopez,2028,MEX,ROW,M,0,3,0.0,0.0,No medal,No medal,0,0
217560,Miguel Carballo,2028,MEX,ROW,M,0,3,0.0,0.0,No medal,No medal,0,0
217561,Randal Willars,2028,MEX,DIV,M,0,14,0.0,0.16666666666666666,No medal,No medal,0,0
217562,Randal Willars,2028,MEX,DIV,M,0,14,0.0,0.16666666666666666,No medal,No medal,0,0
217563,Kevin Berlin,2028,MEX,DIV,M,0,14,0.0,0.16666666666666666,No medal,No medal,0,0
217564,Kevin Berlin,2028,MEX,DIV,M,0,14,0.0,0.16666666666666666,No medal,No medal,0,0
217565,Alejandra Orozco,2028,MEX,DIV,F,0,14,0.0,0.16666666666666666,Bronze,No medal,0,0
217566,Alejandra Orozco,2028,MEX,DIV,F,0,14,0.0,0.16666666666666666,Bronze,No medal,0,0
217567,Gabriela Agundez,2028,MEX,DIV,F,0,14,0.0,0.16666666666666666,Bronze,No medal,0,0
217568,Gabriela Agundez,2028,MEX,DIV,F,0,14,0.0,0.16666666666666666,Bronze,No medal,0,0
217569,Osmar Olvera,2028,MEX,DIV,M,0,14,0.0,0.16666666666666666,No medal,Bronze,0,0
217570,Osmar Olvera,2028,MEX,DIV,M,0,14,0.0,0.16666666666666666,No medal,Silver,0,0
217571,Alejandra Estudillo,2028,MEX,DIV,F,0,14,0.0,0.16666666666666666,No medal,No medal,0,0
217572,Manuel Celaya,2028,MEX,DIV,M,0,14,0.0,0.16666666666666666,No medal,Silver,0,0
217573,Aranza Vazquez,2028,MEX,DIV,F,0,14,0.0,0.16666666666666666,No medal,No medal,0,0
217574,Alexander Munoz,2028,MEX,DIV,M,0,14,0.0,0.16666666666666666,No medal,No medal,0,0
217575,Eugenio Garza,2028,MEX,EDR,M,0,5,0.0,0.0,No medal,No medal,0,0
217576,Eugenio Garza,2028,MEX,EDR,M,0,5,0.0,0.0,No medal,No medal,0,0
