,year,country,is_host,gold,silver,bronze,total_medal
108,1924,TKM,0,0,0,0,0
109,1924,MRI,0,0,0,0,0
110,1924,SEY,0,0,0,0,0
111,1924,CZE,0,0,0,0,0
112,1924,LUX,0,0,0,0,0
113,1924,MTN,0,0,0,0,0
114,1924,SKN,0,0,0,0,0
115,1924,TTO,0,0,0,0,0
116,1924,DOM,0,0,0,0,0
117,1924,VIN,0,0,0,0,0
118,1924,JAM,0,0,0,0,0
119,1924,LBR,0,0,0,0,0
120,1924,SUR,0,0,0,0,0
121,1924,NEP,0,0,0,0,0
122,1924,AUT,0,0,3,1,4
123,1924,PLW,0,0,0,0,0
124,1924,LTU,0,0,0,0,0
125,1924,TOG,0,0,0,0,0
126,1924,NAM,0,0,0,0,0
127,1924,AHO,0,0,0,0,0
128,1924,UKR,0,0,0,0,0
129,1924,ISL,0,0,0,0,0
130,1924,ASA,0,0,0,0,0
131,1924,SAM,0,0,0,0,0
132,1924,RWA,0,0,0,0,0
133,1924,CRO,0,0,0,0,0
134,1924,DMA,0,0,0,0,0
135,1924,HAI,0,0,0,1,1
136,1924,MLT,0,0,0,0,0
137,1924,CYP,0,0,0,0,0
138,1924,BIZ,0,0,0,0,0
139,1924,YMD,0,0,0,0,0
140,1924,THA,0,0,0,0,0
141,1924,BER,0,0,0,0,0
142,1924,ANZ,0,0,0,0,0
143,1924,SCG,0,0,0,0,0
144,1924,SLE,0,0,0,0,0
145,1924,PNG,0,0,0,0,0
146,1924,YEM,0,0,0,0,0
147,1924,TLS,0,0,0,0,0
148,1924,OMA,0,0,0,0,0
149,1924,FIJ,0,0,0,0,0
150,1924,VAN,0,0,0,0,0
151,1924,MDA,0,0,0,0,0
152,1924,BAH,0,0,0,0,0
153,1924,GUA,0,0,0,0,0
154,1924,YUG,0,2,0,0,2
155,1924,LAT,0,0,0,0,0
156,1924,SRB,0,0,0,0,0
157,1924,IVB,0,0,0,0,0
158,1924,MOZ,0,0,0,0,0
159,1924,ISV,0,0,0,0,0
160,1924,CAF,0,0,0,0,0
161,1924,MAD,0,0,0,0,0
162,1924,BIH,0,0,0,0,0
163,1924,GUM,0,0,0,0,0
164,1924,CAY,0,0,0,0,0
165,1924,SVK,0,0,0,0,0
166,1924,BAR,0,0,0,0,0
167,1924,GBS,0,0,0,0,0
168,1924,COD,0,0,0,0,0
169,1924,GAB,0,0,0,0,0
170,1924,SMR,0,0,0,0,0
171,1924,LAO,0,0,0,0,0
172,1924,BOT,0,0,0,0,0
173,1924,ROT,0,0,0,0,0
174,1924,KOR,0,0,0,0,0
175,1924,CAM,0,0,0,0,0
176,1924,PRK,0,0,0,0,0
177,1924,SOL,0,0,0,0,0
178,1924,SEN,0,0,0,0,0
179,1924,CPV,0,0,0,0,0
180,1924,GEQ,0,0,0,0,0
181,1924,BOL,0,0,0,0,0
182,1924,SAA,0,0,0,0,0
183,1924,ANT,0,0,0,0,0
184,1924,AND,0,0,0,0,0
185,1924,ZIM,0,0,0,0,0
186,1924,GRN,0,0,0,0,0
187,1924,HKG,0,0,0,0,0
188,1924,LCA,0,0,0,0,0
189,1924,FSM,0,0,0,0,0
190,1924,MYA,0,0,0,0,0
191,1924,MAW,0,0,0,0,0
192,1924,ZAM,0,0,0,0,0
193,1924,TPE,0,0,0,0,0
194,1924,STP,0,0,0,0,0
195,1924,MKD,0,0,0,0,0
196,1924,BOH,0,0,0,0,0
197,1924,LIE,0,0,0,0,0
198,1924,MNE,0,0,0,0,0
199,1924,GAM,0,0,0,0,0
200,1924,ALB,0,0,0,0,0
201,1924,WIF,0,0,0,0,0
202,1924,SWZ,0,0,0,0,0
203,1924,NBO,0,0,0,0,0
204,1924,BDI,0,0,0,0,0
205,1924,ARU,0,0,0,0,0
206,1924,NRU,0,0,0,0,0
207,1924,VIE,0,0,0,0,0
208,1924,BHU,0,0,0,0,0
209,1924,MHL,0,0,0,0,0
210,1924,KIR,0,0,0,0,0
211,1924,UNK,0,0,0,0,0
212,1924,TUV,0,0,0,0,0
213,1924,TGA,0,0,0,0,0
214,1924,NFL,0,0,0,0,0
215,1924,KOS,0,0,0,0,0
216,1924,SSD,0,0,0,0,0
217,1924,LES,0,0,0,0,0
218,1924,EOR,0,0,0,0,0
219,1924,AIN,0,0,0,0,0
220,1928,CHN,0,0,0,0,0
221,1928,DEN,0,3,1,2,6
222,1928,NED,1,6,9,4,19
223,1928,FIN,0,8,8,9,25
224,1928,NOR,0,1,2,1,4
225,1928,ROU,0,0,0,0,0
226,1928,EST,0,2,1,2,5
227,1928,FRA,0,6,10,5,21
228,1928,MAR,0,0,0,0,0
229,1928,ESP,0,1,0,0,1
230,1928,EGY,0,2,1,1,4
231,1928,IRI,0,0,0,0,0
232,1928,BUL,0,0,0,0,0
233,1928,ITA,0,7,5,7,19
234,1928,CHA,0,0,0,0,0
235,1928,AZE,0,0,0,0,0
236,1928,SUD,0,0,0,0,0
237,1928,RUS,0,0,0,0,0
238,1928,ARG,0,3,3,1,7
239,1928,CUB,0,0,0,0,0
240,1928,BLR,0,0,0,0,0
241,1928,GRE,0,0,0,0,0
242,1928,CMR,0,0,0,0,0
243,1928,TUR,0,0,0,0,0
244,1928,CHI,0,0,1,0,1
245,1928,MEX,0,0,0,0,0
246,1928,USA,0,22,18,16,56
247,1928,URS,0,0,0,0,0
248,1928,NCA,0,0,0,0,0
249,1928,HUN,0,4,5,0,9
250,1928,NGR,0,0,0,0,0
251,1928,ALG,0,0,0,0,0
252,1928,KUW,0,0,0,0,0
253,1928,BRN,0,0,0,0,0
254,1928,PAK,0,0,0,0,0
255,1928,IRQ,0,0,0,0,0
256,1928,LBN,0,0,0,0,0
257,1928,QAT,0,0,0,0,0
258,1928,MAS,0,0,0,0,0
259,1928,GER,0,10,7,14,31
260,1928,CAN,0,4,4,7,15
261,1928,IRL,0,1,0,0,1
262,1928,AUS,0,1,2,1,4
263,1928,RSA,0,1,0,2,3
264,1928,ERI,0,0,0,0,0
265,1928,TAN,0,0,0,0,0
266,1928,JOR,0,0,0,0,0
267,1928,TUN,0,0,0,0,0
268,1928,LBA,0,0,0,0,0
269,1928,BEL,0,0,1,2,3
270,1928,DJI,0,0,0,0,0
271,1928,PLE,0,0,0,0,0
272,1928,COM,0,0,0,0,0
273,1928,KAZ,0,0,0,0,0
274,1928,BRU,0,0,0,0,0
275,1928,IND,0,1,0,0,1
276,1928,KSA,0,0,0,0,0
277,1928,SYR,0,0,0,0,0
278,1928,MDV,0,0,0,0,0
279,1928,ETH,0,0,0,0,0
280,1928,UAE,0,0,0,0,0
281,1928,YAR,0,0,0,0,0
282,1928,INA,0,0,0,0,0
283,1928,PHI,0,0,0,1,1
284,1928,SGP,0,0,0,0,0
285,1928,UZB,0,0,0,0,0
286,1928,KGZ,0,0,0,0,0
287,1928,TJK,0,0,0,0,0
288,1928,EUN,0,0,0,0,0
289,1928,JPN,0,2,2,1,5
290,1928,CGO,0,0,0,0,0
291,1928,SUI,0,7,4,4,15
292,1928,BRA,0,0,0,0,0
293,1928,GDR,0,0,0,0,0
294,1928,MGL,0,0,0,0,0
295,1928,ISR,0,0,0,0,0
296,1928,URU,0,1,0,0,1
297,1928,SWE,0,7,6,12,25
298,1928,SRI,0,0,0,0,0
299,1928,ARM,0,0,0,0,0
300,1928,CIV,0,0,0,0,0
301,1928,KEN,0,0,0,0,0
302,1928,BEN,0,0,0,0,0
303,1928,GBR,0,3,10,7,20
304,1928,GHA,0,0,0,0,0
305,1928,SOM,0,0,0,0,0
306,1928,MLI,0,0,0,0,0
307,1928,AFG,0,0,0,0,0
308,1928,POL,0,1,1,3,5
309,1928,CRC,0,0,0,0,0
310,1928,PAN,0,0,0,0,0
311,1928,GEO,0,0,0,0,0
312,1928,SLO,0,0,0,0,0
313,1928,GUY,0,0,0,0,0
314,1928,NZL,0,1,0,0,1
315,1928,POR,0,0,0,1,1
316,1928,PAR,0,0,0,0,0
317,1928,ANG,0,0,0,0,0
318,1928,VEN,0,0,0,0,0
319,1928,COL,0,0,0,0,0
320,1928,FRG,0,0,0,0,0
321,1928,BAN,0,0,0,0,0
322,1928,PER,0,0,0,0,0
323,1928,ESA,0,0,0,0,0
324,1928,PUR,0,0,0,0,0
325,1928,UGA,0,0,0,0,0
326,1928,HON,0,0,0,0,0
327,1928,ECU,0,0,0,0,0
328,1928,TKM,0,0,0,0,0
329,1928,MRI,0,0,0,0,0
330,1928,SEY,0,0,0,0,0
331,1928,CZE,0,0,0,0,0
332,1928,LUX,0,0,0,0,0
333,1928,MTN,0,0,0,0,0
334,1928,SKN,0,0,0,0,0
335,1928,TTO,0,0,0,0,0
336,1928,DOM,0,0,0,0,0
337,1928,VIN,0,0,0,0,0
338,1928,JAM,0,0,0,0,0
339,1928,LBR,0,0,0,0,0
340,1928,SUR,0,0,0,0,0
341,1928,NEP,0,0,0,0,0
342,1928,AUT,0,2,0,1,3
343,1928,PLW,0,0,0,0,0
344,1928,LTU,0,0,0,0,0
345,1928,TOG,0,0,0,0,0
346,1928,NAM,0,0,0,0,0
347,1928,AHO,0,0,0,0,0
348,1928,UKR,0,0,0,0,0
349,1928,ISL,0,0,0,0,0
350,1928,ASA,0,0,0,0,0
351,1928,SAM,0,0,0,0,0
352,1928,RWA,0,0,0,0,0
353,1928,CRO,0,0,0,0,0
354,1928,DMA,0,0,0,0,0
355,1928,HAI,0,0,1,0,1
356,1928,MLT,0,0,0,0,0
357,1928,CYP,0,0,0,0,0
358,1928,BIZ,0,0,0,0,0
359,1928,YMD,0,0,0,0,0
360,1928,THA,0,0,0,0,0
361,1928,BER,0,0,0,0,0
362,1928,ANZ,0,0,0,0,0
363,1928,SCG,0,0,0,0,0
364,1928,SLE,0,0,0,0,0
365,1928,PNG,0,0,0,0,0
366,1928,YEM,0,0,0,0,0
367,1928,TLS,0,0,0,0,0
368,1928,OMA,0,0,0,0,0
369,1928,FIJ,0,0,0,0,0
370,1928,VAN,0,0,0,0,0
371,1928,MDA,0,0,0,0,0
372,1928,BAH,0,0,0,0,0
373,1928,GUA,0,0,0,0,0
374,1928,YUG,0,1,1,3,5
375,1928,LAT,0,0,0,0,0
376,1928,SRB,0,0,0,0,0
377,1928,IVB,0,0,0,0,0
378,1928,MOZ,0,0,0,0,0
379,1928,ISV,0,0,0,0,0
380,1928,CAF,0,0,0,0,0
381,1928,MAD,0,0,0,0,0
382,1928,BIH,0,0,0,0,0
383,1928,GUM,0,0,0,0,0
384,1928,CAY,0,0,0,0,0
385,1928,SVK,0,0,0,0,0
386,1928,BAR,0,0,0,0,0
387,1928,GBS,0,0,0,0,0
388,1928,COD,0,0,0,0,0
389,1928,GAB,0,0,0,0,0
390,1928,SMR,0,0,0,0,0
391,1928,LAO,0,0,0,0,0
392,1928,BOT,0,0,0,0,0
393,1928,ROT,0,0,0,0,0
394,1928,KOR,0,0,0,0,0
395,1928,CAM,0,0,0,0,0
396,1928,PRK,0,0,0,0,0
397,1928,SOL,0,0,0,0,0
398,1928,SEN,0,0,0,0,0
399,1928,CPV,0,0,0,0,0
400,1928,GEQ,0,0,0,0,0
401,1928,BOL,0,0,0,0,0
402,1928,SAA,0,0,0,0,0
403,1928,ANT,0,0,0,0,0
404,1928,AND,0,0,0,0,0
405,1928,ZIM,0,0,0,0,0
406,1928,GRN,0,0,0,0,0
407,1928,HKG,0,0,0,0,0
408,1928,LCA,0,0,0,0,0
409,1928,FSM,0,0,0,0,0
410,1928,MYA,0,0,0,0,0
411,1928,MAW,0,0,0,0,0
412,1928,ZAM,0,0,0,0,0
413,1928,TPE,0,0,0,0,0
414,1928,STP,0,0,0,0,0
415,1928,MKD,0,0,0,0,0
416,1928,BOH,0,0,0,0,0
417,1928,LIE,0,0,0,0,0
418,1928,MNE,0,0,0,0,0
419,1928,GAM,0,0,0,0,0
420,1928,ALB,0,0,0,0,0
421,1928,WIF,0,0,0,0,0
422,1928,SWZ,0,0,0,0,0
423,1928,NBO,0,0,0,0,0
424,1928,BDI,0,0,0,0,0
425,1928,ARU,0,0,0,0,0
426,1928,NRU,0,0,0,0,0
427,1928,VIE,0,0,0,0,0
428,1928,BHU,0,0,0,0,0
429,1928,MHL,0,0,0,0,0
430,1928,KIR,0,0,0,0,0
431,1928,UNK,0,0,0,0,0
432,1928,TUV,0,0,0,0,0
433,1928,TGA,0,0,0,0,0
434,1928,NFL,0,0,0,0,0
435,1928,KOS,0,0,0,0,0
436,1928,SSD,0,0,0,0,0
437,1928,LES,0,0,0,0,0
438,1928,EOR,0,0,0,0,0
439,1928,AIN,0,0,0,0,0
440,1932,CHN,0,0,0,0,0
441,1932,DEN,0,0,5,3,8
442,1932,NED,0,2,5,1,8
443,1932,FIN,0,5,8,12,25
444,1932,NOR,0,0,0,0,0
445,1932,ROU,0,0,0,0,0
446,1932,EST,0,0,0,0,0
447,1932,FRA,0,11,5,4,20
448,1932,MAR,0,0,0,0,0
449,1932,ESP,0,0,0,1,1
450,1932,EGY,0,0,0,0,0
451,1932,IRI,0,0,0,0,0
452,1932,BUL,0,0,0,0,0
453,1932,ITA,0,12,12,12,36
454,1932,CHA,0,0,0,0,0
455,1932,AZE,0,0,0,0,0
456,1932,SUD,0,0,0,0,0
457,1932,RUS,0,0,0,0,0
458,1932,ARG,0,3,1,0,4
459,1932,CUB,0,0,0,0,0
460,1932,BLR,0,0,0,0,0
461,1932,GRE,0,0,0,0,0
462,1932,CMR,0,0,0,0,0
463,1932,TUR,0,0,0,0,0
464,1932,CHI,0,0,0,0,0
465,1932,MEX,0,0,2,0,2
466,1932,USA,1,44,36,30,110
467,1932,URS,0,0,0,0,0
468,1932,NCA,0,0,0,0,0
469,1932,HUN,0,6,5,5,16
470,1932,NGR,0,0,0,0,0
471,1932,ALG,0,0,0,0,0
472,1932,KUW,0,0,0,0,0
473,1932,BRN,0,0,0,0,0
474,1932,PAK,0,0,0,0,0
475,1932,IRQ,0,0,0,0,0
476,1932,LBN,0,0,0,0,0
477,1932,QAT,0,0,0,0,0
478,1932,MAS,0,0,0,0,0
479,1932,GER,0,5,12,7,24
480,1932,CAN,0,2,5,9,16
481,1932,IRL,0,2,0,0,2
482,1932,AUS,0,3,1,1,5
483,1932,RSA,0,2,0,3,5
484,1932,ERI,0,0,0,0,0
485,1932,TAN,0,0,0,0,0
486,1932,JOR,0,0,0,0,0
487,1932,TUN,0,0,0,0,0
488,1932,LBA,0,0,0,0,0
489,1932,BEL,0,0,0,1,1
490,1932,DJI,0,0,0,0,0
491,1932,PLE,0,0,0,0,0
492,1932,COM,0,0,0,0,0
493,1932,KAZ,0,0,0,0,0
494,1932,BRU,0,0,0,0,0
495,1932,IND,0,1,0,0,1
496,1932,KSA,0,0,0,0,0
497,1932,SYR,0,0,0,0,0
498,1932,MDV,0,0,0,0,0
499,1932,ETH,0,0,0,0,0
500,1932,UAE,0,0,0,0,0
501,1932,YAR,0,0,0,0,0
502,1932,INA,0,0,0,0,0
503,1932,PHI,0,0,0,3,3
504,1932,SGP,0,0,0,0,0
505,1932,UZB,0,0,0,0,0
506,1932,KGZ,0,0,0,0,0
507,1932,TJK,0,0,0,0,0
508,1932,EUN,0,0,0,0,0
509,1932,JPN,0,7,7,4,18
510,1932,CGO,0,0,0,0,0
511,1932,SUI,0,0,1,0,1
512,1932,BRA,0,0,0,0,0
513,1932,GDR,0,0,0,0,0
514,1932,MGL,0,0,0,0,0
515,1932,ISR,0,0,0,0,0
516,1932,URU,0,0,0,1,1
517,1932,SWE,0,10,5,9,24
518,1932,SRI,0,0,0,0,0
519,1932,ARM,0,0,0,0,0
520,1932,CIV,0,0,0,0,0
521,1932,KEN,0,0,0,0,0
522,1932,BEN,0,0,0,0,0
523,1932,GBR,0,5,7,5,17
524,1932,GHA,0,0,0,0,0
525,1932,SOM,0,0,0,0,0
526,1932,MLI,0,0,0,0,0
527,1932,AFG,0,0,0,0,0
528,1932,POL,0,3,2,4,9
529,1932,CRC,0,0,0,0,0
530,1932,PAN,0,0,0,0,0
531,1932,GEO,0,0,0,0,0
532,1932,SLO,0,0,0,0,0
533,1932,GUY,0,0,0,0,0
534,1932,NZL,0,0,1,0,1
535,1932,POR,0,0,0,0,0
536,1932,PAR,0,0,0,0,0
537,1932,ANG,0,0,0,0,0
538,1932,VEN,0,0,0,0,0
539,1932,COL,0,0,0,0,0
540,1932,FRG,0,0,0,0,0
541,1932,BAN,0,0,0,0,0
542,1932,PER,0,0,0,0,0
543,1932,ESA,0,0,0,0,0
544,1932,PUR,0,0,0,0,0
545,1932,UGA,0,0,0,0,0
546,1932,HON,0,0,0,0,0
547,1932,ECU,0,0,0,0,0
548,1932,TKM,0,0,0,0,0
549,1932,MRI,0,0,0,0,0
550,1932,SEY,0,0,0,0,0
551,1932,CZE,0,0,0,0,0
552,1932,LUX,0,0,0,0,0
553,1932,MTN,0,0,0,0,0
554,1932,SKN,0,0,0,0,0
555,1932,TTO,0,0,0,0,0
556,1932,DOM,0,0,0,0,0
557,1932,VIN,0,0,0,0,0
558,1932,JAM,0,0,0,0,0
559,1932,LBR,0,0,0,0,0
560,1932,SUR,0,0,0,0,0
561,1932,NEP,0,0,0,0,0
562,1932,AUT,0,1,1,3,5
563,1932,PLW,0,0,0,0,0
564,1932,LTU,0,0,0,0,0
565,1932,TOG,0,0,0,0,0
566,1932,NAM,0,0,0,0,0
567,1932,AHO,0,0,0,0,0
568,1932,UKR,0,0,0,0,0
569,1932,ISL,0,0,0,0,0
570,1932,ASA,0,0,0,0,0
571,1932,SAM,0,0,0,0,0
572,1932,RWA,0,0,0,0,0
573,1932,CRO,0,0,0,0,0
574,1932,DMA,0,0,0,0,0
575,1932,HAI,0,0,0,0,0
576,1932,MLT,0,0,0,0,0
577,1932,CYP,0,0,0,0,0
578,1932,BIZ,0,0,0,0,0
579,1932,YMD,0,0,0,0,0
580,1932,THA,0,0,0,0,0
581,1932,BER,0,0,0,0,0
582,1932,ANZ,0,0,0,0,0
583,1932,SCG,0,0,0,0,0
584,1932,SLE,0,0,0,0,0
585,1932,PNG,0,0,0,0,0
586,1932,YEM,0,0,0,0,0
587,1932,TLS,0,0,0,0,0
588,1932,OMA,0,0,0,0,0
589,1932,FIJ,0,0,0,0,0
590,1932,VAN,0,0,0,0,0
591,1932,MDA,0,0,0,0,0
592,1932,BAH,0,0,0,0,0
593,1932,GUA,0,0,0,0,0
594,1932,YUG,0,0,0,0,0
595,1932,LAT,0,0,1,0,1
596,1932,SRB,0,0,0,0,0
597,1932,IVB,0,0,0,0,0
598,1932,MOZ,0,0,0,0,0
599,1932,ISV,0,0,0,0,0
600,1932,CAF,0,0,0,0,0
601,1932,MAD,0,0,0,0,0
602,1932,BIH,0,0,0,0,0
603,1932,GUM,0,0,0,0,0
604,1932,CAY,0,0,0,0,0
605,1932,SVK,0,0,0,0,0
606,1932,BAR,0,0,0,0,0
607,1932,GBS,0,0,0,0,0
608,1932,COD,0,0,0,0,0
609,1932,GAB,0,0,0,0,0
610,1932,SMR,0,0,0,0,0
611,1932,LAO,0,0,0,0,0
612,1932,BOT,0,0,0,0,0
613,1932,ROT,0,0,0,0,0
614,1932,KOR,0,0,0,0,0
615,1932,CAM,0,0,0,0,0
616,1932,PRK,0,0,0,0,0
617,1932,SOL,0,0,0,0,0
618,1932,SEN,0,0,0,0,0
619,1932,CPV,0,0,0,0,0
620,1932,GEQ,0,0,0,0,0
621,1932,BOL,0,0,0,0,0
622,1932,SAA,0,0,0,0,0
623,1932,ANT,0,0,0,0,0
624,1932,AND,0,0,0,0,0
625,1932,ZIM,0,0,0,0,0
626,1932,GRN,0,0,0,0,0
627,1932,HKG,0,0,0,0,0
628,1932,LCA,0,0,0,0,0
629,1932,FSM,0,0,0,0,0
630,1932,MYA,0,0,0,0,0
631,1932,MAW,0,0,0,0,0
632,1932,ZAM,0,0,0,0,0
633,1932,TPE,0,0,0,0,0
634,1932,STP,0,0,0,0,0
635,1932,MKD,0,0,0,0,0
636,1932,BOH,0,0,0,0,0
637,1932,LIE,0,0,0,0,0
638,1932,MNE,0,0,0,0,0
639,1932,GAM,0,0,0,0,0
640,1932,ALB,0,0,0,0,0
641,1932,WIF,0,0,0,0,0
642,1932,SWZ,0,0,0,0,0
643,1932,NBO,0,0,0,0,0
644,1932,BDI,0,0,0,0,0
645,1932,ARU,0,0,0,0,0
646,1932,NRU,0,0,0,0,0
647,1932,VIE,0,0,0,0,0
648,1932,BHU,0,0,0,0,0
649,1932,MHL,0,0,0,0,0
650,1932,KIR,0,0,0,0,0
651,1932,UNK,0,0,0,0,0
652,1932,TUV,0,0,0,0,0
653,1932,TGA,0,0,0,0,0
654,1932,NFL,0,0,0,0,0
655,1932,KOS,0,0,0,0,0
656,1932,SSD,0,0,0,0,0
657,1932,LES,0,0,0,0,0
658,1932,EOR,0,0,0,0,0
659,1932,AIN,0,0,0,0,0
660,1936,CHN,0,0,0,0,0
661,1936,DEN,0,0,2,3,5
662,1936,NED,0,6,4,7,17
663,1936,FIN,0,8,6,6,20
664,1936,NOR,0,1,3,2,6
665,1936,ROU,0,0,1,0,1
666,1936,EST,0,2,2,3,7
667,1936,FRA,0,7,6,6,19
668,1936,MAR,0,0,0,0,0
669,1936,ESP,0,0,0,0,0
670,1936,EGY,0,2,1,2,5
671,1936,IRI,0,0,0,0,0
672,1936,BUL,0,0,0,0,0
673,1936,ITA,0,9,13,5,27
674,1936,CHA,0,0,0,0,0
675,1936,AZE,0,0,0,0,0
676,1936,SUD,0,0,0,0,0
677,1936,RUS,0,0,0,0,0
678,1936,ARG,0,2,2,3,7
679,1936,CUB,0,0,0,0,0
680,1936,BLR,0,0,0,0,0
681,1936,GRE,0,0,0,0,0
682,1936,CMR,0,0,0,0,0
683,1936,TUR,0,1,0,1,2
684,1936,CHI,0,0,0,0,0
685,1936,MEX,0,0,0,3,3
686,1936,USA,0,24,21,12,57
687,1936,URS,0,0,0,0,0
688,1936,NCA,0,0,0,0,0
689,1936,HUN,0,10,1,5,16
690,1936,NGR,0,0,0,0,0
691,1936,ALG,0,0,0,0,0
692,1936,KUW,0,0,0,0,0
693,1936,BRN,0,0,0,0,0
694,1936,PAK,0,0,0,0,0
695,1936,IRQ,0,0,0,0,0
696,1936,LBN,0,0,0,0,0
697,1936,QAT,0,0,0,0,0
698,1936,MAS,0,0,0,0,0
699,1936,GER,1,38,31,32,101
700,1936,CAN,0,1,3,5,9
701,1936,IRL,0,0,0,0,0
702,1936,AUS,0,0,0,1,1
703,1936,RSA,0,0,1,0,1
704,1936,ERI,0,0,0,0,0
705,1936,TAN,0,0,0,0,0
706,1936,JOR,0,0,0,0,0
707,1936,TUN,0,0,0,0,0
708,1936,LBA,0,0,0,0,0
709,1936,BEL,0,0,0,3,3
710,1936,DJI,0,0,0,0,0
711,1936,PLE,0,0,0,0,0
712,1936,COM,0,0,0,0,0
713,1936,KAZ,0,0,0,0,0
714,1936,BRU,0,0,0,0,0
715,1936,IND,0,1,0,0,1
716,1936,KSA,0,0,0,0,0
717,1936,SYR,0,0,0,0,0
718,1936,MDV,0,0,0,0,0
719,1936,ETH,0,0,0,0,0
720,1936,UAE,0,0,0,0,0
721,1936,YAR,0,0,0,0,0
722,1936,INA,0,0,0,0,0
723,1936,PHI,0,0,0,1,1
724,1936,SGP,0,0,0,0,0
725,1936,UZB,0,0,0,0,0
726,1936,KGZ,0,0,0,0,0
727,1936,TJK,0,0,0,0,0
728,1936,EUN,0,0,0,0,0
729,1936,JPN,0,6,4,10,20
730,1936,CGO,0,0,0,0,0
731,1936,SUI,0,4,9,5,18
732,1936,BRA,0,0,0,0,0
733,1936,GDR,0,0,0,0,0
734,1936,MGL,0,0,0,0,0
735,1936,ISR,0,0,0,0,0
